timestamp,symbol,source,sentiment_label,sentiment_score
2026-05-03T15:08:56Z,MITO,funding,Tiêu cực,4.9900
2026-05-03T15:08:56Z,LUMIA,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,LUMIA,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,LUMIA,funding,Tiêu cực,5.1200
2026-05-03T15:08:56Z,THETA,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,THETA,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,THETA,funding,Tiêu cực,4.8800
2026-05-03T15:08:57Z,JST,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,JST,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,JST,funding,Tiêu cực,5.1200
2026-05-03T15:08:57Z,MUBARAK,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,MUBARAK,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,MUBARAK,funding,Tiêu cực,5.1200
2026-05-03T15:08:57Z,CYBER,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,CYBER,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,CYBER,funding,Tiêu cực,3.2900
2026-05-03T15:08:57Z,KAVA,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,KAVA,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,KAVA,funding,Tiêu cực,4.7600
2026-05-03T15:08:57Z,RLC,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,RLC,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,RLC,funding,Tiêu cực,3.7900
2026-05-03T15:08:57Z,BROCCOLI714,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,BROCCOLI714,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,BROCCOLI714,funding,Tiêu cực,5.1200
2026-05-03T15:08:57Z,ICP,macro,Tiêu cực,6.4900
2026-05-03T15:08:57Z,ICP,social,Tiêu cực,3.0000
2026-05-03T15:08:57Z,ICP,funding,Tiêu cực,4.4500
